Date,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,ADA-USD,BTC-USD,XRP-USD
2018-01-02,53.54037094116211,54.01158142089844,24.444854736328125,67.69294738769531,60.291404724121094,47.16959381103515,26.14380645751953,42.05038833618164,74.64315032958984,93.7160186767578,0.7825869917869568,14982.099609375,2.4809000492095947
2018-01-03,53.9154052734375,54.82047653198242,24.576183319091797,68.05755615234375,60.794307708740234,47.15290451049805,26.15178871154785,41.72004318237305,75.35733795166016,94.1462860107422,1.0796600580215454,15201.0,3.105370044708252
2018-01-04,54.3863410949707,55.151390075683594,24.803821563720703,68.55554962158203,61.10163497924805,47.2863883972168,25.704753875732425,41.37358474731445,75.46448516845703,94.45499420166016,1.1141200065612793,15599.2001953125,3.1966300010681152
2018-01-05,54.822410583496094,55.12932586669922,24.873865127563477,69.0268783569336,61.74423599243164,47.49495697021485,25.76062774658203,41.35746765136719,76.10723114013672,95.20327758789062,0.9995589852333068,17429.5,3.0487101078033447
2018-01-08,54.900909423828125,55.46022033691406,24.838842391967773,69.31145477294922,61.977046966552734,47.61174392700195,25.936254501342773,41.74422454833984,75.83047485351562,95.31552124023438,0.8990020155906677,15170.099609375,2.456209897994995
2018-01-09,54.81369400024414,55.320533752441406,25.031465530395508,69.756103515625,61.81871795654297,47.545021057128906,25.640886306762695,41.333309173583984,76.7232437133789,95.50257110595705,0.8147429823875427,14595.400390625,2.1017799377441406
2018-01-10,54.482276916503906,55.25434112548828,25.241586685180664,69.74720001220703,61.604530334472656,47.31140899658203,25.241748809814453,40.882102966308594,76.5893325805664,95.43711853027344,0.7931209802627563,14973.2998046875,1.9749200344085691
2018-01-11,55.19743728637695,56.38678741455078,25.36416244506836,70.6364974975586,61.85595703125,47.24467468261719,25.08208656311035,40.72901916503906,76.9196548461914,96.98985290527344,0.6884120106697083,13405.7998046875,1.9507999420166016
2018-01-12,55.28464126586914,56.93095016479492,25.59180450439453,71.2945785522461,62.21917343139648,47.26136016845703,24.89847946166992,40.495357513427734,77.5088882446289,98.24324798583984,0.8975080251693726,13980.599609375,2.0432300567626953
2018-01-16,54.63926315307617,56.21029281616211,25.521759033203125,70.6542739868164,61.977046966552734,47.478271484375,25.01822853088379,40.40672302246094,77.89273834228516,97.5417251586914,0.626492977142334,11490.5,1.1792399883270264
2018-01-17,54.892189025878906,56.702972412109375,25.714378356933594,71.04557037353516,62.9083366394043,48.020538330078125,25.16191864013672,40.6565055847168,78.64265441894531,98.00939178466795,0.6291019916534424,11188.599609375,1.306339979171753
2018-01-18,54.85731506347656,56.239715576171875,25.67936134338379,70.6631851196289,63.02006912231445,47.87872314453125,24.922428131103516,40.39866638183594,78.6605224609375,97.92523956298828,0.6598430275917053,11474.900390625,1.5965800285339355
2018-01-19,55.18871307373047,56.16617202758789,25.86322021484375,70.86772155761719,63.14115905761719,48.41265869140625,25.09805679321289,40.27781295776367,78.95514678955078,98.77645111083984,0.6504979729652405,11607.400390625,1.552049994468689
2018-01-22,55.05789566040039,57.37950134277344,26.07334899902344,70.86772155761719,63.755802154541016,48.779727935791016,25.337533950805664,40.3342170715332,79.47291564941406,99.8708267211914,0.5704579949378967,10931.400390625,1.3573499917984009
2018-01-23,55.049163818359375,57.291259765625,26.099609375,70.90330505371094,64.0351791381836,48.62122344970703,25.728702545166016,40.7209587097168,79.08904266357422,100.71265411376952,0.5630699992179871,10868.400390625,1.3370699882507324
2018-01-24,55.28464126586914,57.1368408203125,26.27471923828125,70.84104919433594,63.54159164428711,48.72132873535156,25.65685272216797,40.47118377685547,79.3211441040039,101.1429443359375,0.6222079992294312,11359.400390625,1.357149958610535
2018-01-25,55.65093994140625,56.68827438354492,26.22218894958496,70.91218566894531,63.429840087890625,48.74635314941406,25.60097312927246,41.099639892578125,79.99964904785156,100.96524047851562,0.6374949812889099,11259.400390625,1.3122299909591677
2018-01-26,55.895137786865234,56.99713134765625,26.414798736572266,71.7303237915039,64.43563842773438,48.979957580566406,25.67281913757324,41.123817443847656,81.72268676757812,101.9567413330078,0.6233819723129272,11171.400390625,1.217270016670227
2018-01-29,55.25848388671875,56.13675308227539,26.30974006652832,71.25012969970703,63.84892654418945,48.7880744934082,25.37744903564453,40.600101470947266,81.49946594238281,101.67611694335938,0.6232039928436279,11296.400390625,1.3239699602127075
2018-01-30,54.85731506347656,55.00432586669922,25.968280792236328,70.68987274169922,63.27153015136719,48.462703704833984,25.2736759185791,40.67262268066406,79.785400390625,101.1710205078125,0.5319129824638367,10106.2998046875,1.1385600566864014
2018-01-31,54.900909423828125,55.04108810424805,26.0383243560791,70.90330505371094,63.74647903442383,48.23745346069336,25.79256248474121,41.123817443847656,78.65160369873047,100.8436279296875,0.5193150043487549,10221.099609375,1.1623899936676023
2018-02-01,54.15086364746094,55.607322692871094,26.283475875854492,70.77876281738281,63.802364349365234,48.02888870239258,25.32157325744629,40.479244232177734,78.67837524414062,99.7211685180664,0.421671986579895,9170.5400390625,0.9625300168991088
2018-02-02,52.72928237915039,53.28358840942383,25.705625534057617,69.35589599609375,61.911861419677734,47.1111946105957,25.03419303894043,40.18918991088867,77.57134246826172,98.76705932617188,0.3905340135097503,8830.75,0.8847839832305908
2018-02-05,50.71466827392578,51.04813766479492,24.409832000732425,66.20782470703125,59.32288360595703,45.40093231201172,24.38758087158203,39.52849960327149,74.13427734375,95.43711853027344,0.3273710012435913,6955.27001953125,0.691798985004425
2018-02-06,52.37171173095703,51.45256042480469,24.85634994506836,67.4172592163086,61.02713394165039,45.9014892578125,24.339679718017575,38.94032287597656,74.95559692382812,97.87847137451172,0.3697530031204223,7754.0,0.7763929963111877
2018-02-07,51.9007568359375,50.59220886230469,24.873865127563477,67.54176330566406,60.244850158691406,45.7012825012207,24.227924346923828,38.755008697509766,74.86630249023438,97.5791244506836,0.3404470086097717,7621.2998046875,0.7238950133323669
2018-02-08,50.07799530029297,49.062686920166016,23.779451370239254,64.93612670898438,57.74900817871094,44.71684265136719,23.46955680847168,38.31992721557617,72.26838684082031,93.6879425048828,0.3565840125083923,8265.58984375,0.8052629828453064
2018-02-09,50.95012283325195,49.02591323852539,24.23472785949707,65.638671875,59.16455841064453,44.80860900878906,24.020374298095703,39.125640869140625,73.29507446289062,94.31463623046876,0.3916020095348358,8736.98046875,0.9544280171394348
2018-02-12,51.979251861572266,49.827449798583984,24.576183319091797,66.69693756103516,60.22623062133789,45.26744842529297,24.0842342376709,39.42375946044922,73.98250579833984,95.59613037109376,0.384315013885498,8926.5703125,1.0810099840164185
2018-02-13,51.84842300415039,49.621543884277344,24.68124771118164,66.8481216430664,60.375240325927734,45.47602081298828,24.259855270385746,39.60101318359375,74.03607177734375,96.0918960571289,0.3733139932155609,8598.3095703125,1.0274100303649902
